No,Filename,Width,Height,AspectRatio,PixelAspectRatio,RatioSource,UsageCount,DisplayRatioVariants,AssetKind,SvgRenderable,PptxNativeSupported,SizeKB,Category,ImageArea_SxS,TextArea_SxS
1,du_an_knx/tool_becnh_mark/bang_dieu_khien.png,1871,899,2.08,2.08,pixel,1,,bitmap,True,True,172.9,Ultra-wide,812x390,328x600
2,du_an_knx/tool_becnh_mark/bao_cao.png,1899,891,2.13,2.13,pixel,1,,bitmap,True,True,222.2,Ultra-wide,812x381,328x600
3,du_an_knx/tool_becnh_mark/tao_test_case.png,1857,881,2.11,2.11,pixel,1,,bitmap,True,True,188.3,Ultra-wide,812x385,328x600
4,du_an_knx/tool_nap_code_knx/image.png,1893,997,1.90,1.90,pixel,1,,bitmap,True,True,81.1,Wide landscape,812x428,328x600
5,du_an_tool_design/tool_nap_code/image.png,1898,982,1.93,1.93,pixel,1,,bitmap,True,True,78.9,Wide landscape,812x420,328x600
6,image_010fcf8f9f909b91.png,465,926,0.50,0.50,manifest,1,0.50,bitmap,True,True,39.6,Portrait,301x600,839x600
7,image_2977a4dbbd3092f6.jpg,1024,765,1.34,1.34,manifest,1,1.34,bitmap,True,True,102.0,Standard landscape,803x600,337x600
8,image_3db7369d2c1e7d49.jpg,1372,784,1.75,1.75,manifest,1,1.75,bitmap,True,True,59.5,Wide landscape,812x464,328x600
9,image_3f64fe1646839cff.png,330,656,0.50,0.50,manifest,1,0.50,bitmap,True,True,22.5,Portrait,302x600,838x600
10,image_4b9114ead751e97d.jpg,381,371,1.03,1.03,manifest,1,1.03,bitmap,True,True,9.0,Near square,616x600,524x600
11,image_5a1205fbd766d78e.png,291,625,0.47,0.47,manifest,1,0.47,bitmap,True,True,148.8,Portrait,279x600,861x600
12,image_6519313ef59a5f53.png,1111,619,1.79,1.79,manifest,1,1.79,bitmap,True,True,85.6,Wide landscape,812x452,328x600
13,image_8fa7a601c29ca778.png,262,76,3.45,3.45,manifest,15,3.42;3.45,bitmap,True,True,5.3,Ultra-wide,1160x336,1160x244
14,image_9f31c49d5ae33b66.jpg,422,714,0.59,0.59,manifest,1,0.59,bitmap,True,True,45.6,Portrait,355x600,785x600
15,image_b3ef018bf0b10f2b.png,1143,1143,1.00,1.00,manifest,2,1.00,bitmap,True,True,86.1,Near square,600x600,540x600
16,image_bb7dad2eee78ee9d.png,262,76,3.42,3.45,manifest,2,3.42,bitmap,True,True,3.9,Ultra-wide,1160x340,1160x240
17,image_bc82a45d35f49412.jpg,960,540,1.78,1.78,manifest,1,1.78,bitmap,True,True,78.0,Wide landscape,812x457,328x600
18,image_cd22578ee1f97165.png,359,687,0.52,0.52,manifest,1,0.52,bitmap,True,True,208.5,Portrait,314x600,826x600
19,image_deea19358d7d9df9.jpg,1024,906,1.13,1.13,manifest,1,1.13,bitmap,True,True,37.8,Near square,678x600,462x600
20,knx_certificate/course_result.png,476,305,1.56,1.56,pixel,1,,bitmap,True,True,15.0,Wide landscape,812x520,328x600
21,knx_certificate/knx_partner_certificate.png,1489,2105,0.71,0.71,pixel,1,,bitmap,True,True,499.8,Portrait,424x600,716x600
